term	valence	arousal	dominance
gavin	0.5330	0.5930	-0.0740
gbmapaka.	0.5930	-0.6670	0.0000
gghana.	-0.6670	0.6670	-0.1250
gherghano.	-0.5830	0.5830	-0.3330
gif	-0.0660	-0.1400	-0.3540
giggin	0.0620	0.0680	0.0760
gin	-0.1020	0.1020	0.0360
ginirgn.	0.3540	-0.2800	-0.2720
git	0.6670	0.6670	-0.3330
gmm-	-0.2400	0.3260	0.0380
gmmmmry	-0.6670	0.6670	-0.5420
gmmyy	-0.5240	0.6670	-0.4290
gmply	-0.9630	-0.6670	-0.5560
gmproperu.	1.0000	-0.0740	0.6190
gmum	0.8520	0.6670	0.4170
gn	0.0000	-0.6670	0.4070
gnny	0.6670	0.6670	0.0740
gnu	0.0000	0.6670	-0.1110
gociky	-0.6670	0.6250	-0.6670
gok	-0.3340	-0.0560	-0.1320
gooky	-0.6250	0.6670	-0.8750
goool	0.0560	-0.4170	-0.5000
gowin	0.6670	-0.6670	0.0000
gowrows	-0.1740	-0.0520	-0.0760
griboli	-0.1840	-0.3920	-0.2960
grighanu.	0.0000	0.3330	0.1900
grighuer	0.0000	0.6670	0.6670
grippi	-0.6040	0.6160	0.1180
gripptirir.	-0.9580	-0.3810	-0.3330
grocialal_	0.3120	0.3400	0.5520
groction	0.2440	-0.1000	0.0380
grolt	-0.6250	0.6670	-0.4580
grolt-	-0.6670	-0.3750	-0.5830
grot	0.0000	-0.2220	0.1110
grouite	0.1440	-0.3140	-0.0340
grover	0.6670	0.7080	0.6670
grovialdia.	-0.1040	0.9630	0.6670
grovon	0.5710	-0.6670	-0.4170
growirary	0.3330	-0.9520	0.0740
growis	0.5090	0.0200	-0.1660
guel	-0.2360	-0.3920	-0.4060
guuu	0.1460	-0.2800	0.3060
gyC	0.0420	-0.0950	0.0000
gycrol	0.0000	-0.5560	0.0000
gymium	0.0000	0.0000	0.0370
gyncioliography.	-0.1840	0.1800	0.0380
gynighano.	-0.3890	-0.9630	-0.7780
gypposin	0.0000	0.0000	0.0000
gyptipican_	0.0000	-0.7920	0.0000
gyrer	0.0000	0.6670	0.0000
gyrocraq.	0.1110	-0.6670	0.5000
gyroperu.	0.0000	0.3330	0.5560
gyroscue	0.0000	-0.2200	0.0200
hogg	-0.2380	0.0000	-0.2080
homy	0.2420	-0.2840	-0.1500
hykkey	-0.1040	0.0580	-0.3100
inmin	0.0000	-0.4170	0.4580
iolioliography	0.0830	0.6670	0.7500
jabber	-0.1660	0.0120	-0.3160
jabberर	-0.6300	0.7620	-0.5000
jabberस्वी	0.0000	0.0000	-0.0370
japan.	0.1180	-0.1947	-0.2987
jinx	-0.3260	0.1640	-0.2540
jogger	-0.1660	0.0200	-0.1520
kknoworknown	-0.4560	0.0380	-0.2780
ky	-0.3960	-0.0400	-0.2200
kykiky	0.0200	-0.2200	-0.2240
libmoliboud	-0.7500	0.4700	-0.1280
libmoliky	-1.0000	0.6000	0.7620
liks	0.9630	0.0480	0.1480
livable	0.7330	-0.4440	0.3330
lnx	0.0200	0.1800	0.1340
lyमिंग	-0.6670	0.6670	-0.4170
m	0.3330	-1.0000	-0.3330
machoghano.	-0.2920	0.4080	0.2900
maky	-0.6880	-0.0340	-0.3140
mary	-0.6670	-0.2960	-0.5830
masion	-0.4170	-0.6670	-0.4440
mazon	0.6670	0.4000	1.0000
mb	0.0420	-0.2400	-0.1460
mensicerica.	-0.6670	-0.5420	-0.6300
metain	-0.3260	0.3520	0.1460
metainuudu.	-0.1670	0.9580	0.6670
metudinion	0.0000	-0.7780	0.0420
metududial	0.0000	-0.0480	0.1250
mfh	-0.5720	0.1160	-0.2340
mh	-0.4520	-0.0160	-0.2580
micerica.	-0.5200	-0.1180	-0.1100
minibitions	0.0000	-0.7920	0.0000
minlyरल	-0.0950	-0.5830	0.0000
mobrazil.	0.2040	-0.2975	0.2630
mod	-0.0840	-0.2660	-0.2320
mogg	-0.6670	0.6670	0.2960
mol	0.0000	-0.9630	-0.4580
momution	0.5930	0.5560	0.6300
morway.	0.5830	0.0000	0.4070
moworway	0.6670	0.7040	0.9260
mowse	0.7880	0.3260	0.4240
mumperu.	-0.3240	0.2700	0.3340
namadia.	-1.0000	0.7620	1.0000
niga.	-0.6670	0.6300	0.0950
ninnindडो	0.6040	0.1420	-0.0720
nnerperu.	0.6110	0.6670	0.0000
nnorway.	0.0200	-0.0600	-0.3460
nsent	0.3680	-0.2540	0.1700
ozozor	-0.3330	-1.0000	-0.7500
pPERTCKS	0.0000	0.0000	0.0000
paddep	0.1220	-0.2500	-0.2140
paddबाल	0.3890	0.7220	0.0830
paddलर	0.0420	0.6670	0.0000
panaghana.	0.1250	0.6670	0.0420
parghana.	-0.3060	0.5100	0.0700
parglial	-0.3330	0.3330	0.2960
pay	0.4420	-0.0420	-0.2240
pddddded	0.0000	0.6300	-0.3750
phitetoolivelican_	0.0740	0.6670	0.1110
pi	-0.0620	-0.4700	-0.2000
pock	-0.0400	-0.1420	-0.0380
pod	-0.0400	-0.2080	-0.3220
podge	-0.3330	-0.6670	-0.4170
podiaperu.	0.3330	-0.5830	0.2960
pody	0.3060	-0.3400	-0.3400
poed	-0.2860	0.6670	-0.2960
ponton	0.2920	0.0480	0.0000
poscentable	0.6250	0.0000	0.5710
pov	0.0000	-0.0800	-0.2420
pox	-0.5300	0.1340	-0.3820
prroस्टर	0.0560	1.0000	0.4580
psep	0.0000	0.6000	-0.5830
pwttter	-0.4440	0.6670	-0.4580
pyyyM	-0.2860	-0.2540	-0.3660
qintness	0.5710	-0.7080	-0.2860
qorm	0.2300	0.0880	0.2040
quarara.	0.1670	0.0950	0.6670
qughymaryd.	-0.3640	-0.0400	-0.1740
qui	0.0200	-0.3140	-0.3400
quo	0.0000	-0.1250	0.4760
quum	0.4080	0.0000	0.2000
quy	-0.6110	0.6670	-0.6190
rebrazil.	0.0420	-0.0400	0.0120
retrolting	0.0000	0.6670	0.6190
revQ	-0.2660	-0.1560	-0.2940
revning	0.5000	0.6250	0.5240
revu	0.1880	-0.3000	-0.1600
rfff	-0.2800	-0.1920	-0.2060
rhaprociociod	0.9440	0.6670	0.2860
rhomboudira.	0.0000	-0.7500	0.0000
rhomibrazil.	0.0000	0.0000	0.0000
rhomus	0.0000	0.0000	0.0000
rr	-0.3260	-0.1400	-0.1640
rydilin	0.0000	0.9580	0.2220
soghanu.	0.0000	0.6670	0.3330
systemphaiti.	0.0000	0.2860	0.2590
taptil	0.4760	-0.5560	-0.2220
timeरमीटर	0.0000	0.0000	0.5560
tip्शन	0.0000	0.0370	-0.4440
tollnorway.	0.5830	0.3330	0.0740
tooly	0.0420	0.4760	-0.1670
tttt	0.6670	0.6670	0.0000
tuperu.	0.1250	-0.5560	0.0000
twaddl	-0.6670	0.3810	-0.7500
tर्टल	-0.0620	-0.3660	-0.2400
unbddd	-0.3330	-0.3330	-0.6250
unbddddd	0.0000	-0.6250	-0.2080
unbilg	-0.4080	-0.3400	-0.3720
unblting	0.5000	0.6250	0.1480
undramed	0.7620	-1.0000	0.3810
unky	-0.6670	-0.3810	-0.7920
unmugoudyudy	0.6670	-0.7920	0.5930
unpppug	-0.5220	-0.1180	-0.1920
us	-1.0000	-0.8330	-0.8570
venyny	0.0000	0.0000	-0.4290
vovoding	-0.3840	-0.1320	0.0500
vोत्तोusa.	0.0000	-1.0000	-0.0370
worn	-0.6670	-0.2080	-0.5930
www.jw.org	0.0740	-0.3480	-0.2140
xarthiनियम	0.0000	0.0000	0.0000
xenmorp	-0.0740	0.0000	0.0000
xoxo	0.4580	0.0400	-0.2000
xria.	0.8680	0.4340	0.2300
xroworway.	0.1020	0.1600	0.3220
xrox	-0.2300	-0.3020	-0.1040
xxxxxxxxxxxcolor	0.0000	0.6670	0.3890
xyoफोन	0.5930	0.3330	0.0000
xypon	0.0420	0.3330	0.0000
xyponite	0.2860	0.6670	0.1250
y-	-0.0000	-0.1585	-0.3810
yaks	0.6110	0.3700	0.6110
yaksman	0.6670	0.6670	0.6670
yank	-0.4580	0.2600	0.0760
yappy	-0.6670	0.8890	-0.7780
yerperu.	0.2220	0.5930	0.6250
yn	0.4585	0.6005	0.3985
ynknownuche	-0.6670	-0.7620	-0.5930
ynyM	0.5830	0.0000	0.3330
ynym	0.2300	-0.5800	-0.1340
yool	-0.6670	1.0000	-0.0480
yyyM	0.7560	0.1000	0.3160
yूका	0.0000	-1.0000	0.0000
zacrasia.	0.0000	-0.6670	0.0000
zagghanu.	-0.1070	0.4580	-0.2120
zesty	0.1240	0.0560	-0.0880
zinc	-0.2860	-0.3720	-0.3340
zinfandel	0.6670	0.2500	0.0000
zing	0.1580	-0.1960	-0.1960
zit	-0.3260	-0.1800	-0.2380
zmu	-0.5720	0.2960	-0.1700
zoning	-0.1660	-0.2000	0.1560
zonk	-0.5930	-0.9580	-0.7080
zoro	0.6250	0.6670	0.7920
zy	0.1430	0.2417	-0.2360
zyMynorway.	0.0950	0.6190	0.3330
zyia.	0.0000	-0.5000	0.0000
ंगंद्र्ड	0.0000	0.0000	-0.1850
ंगडाय	-0.4380	-0.4600	-0.4340
ंगलर	-0.9050	0.5830	-0.8750
अ	-0.7920	0.1800	-0.3460
अ-	-0.2108	-0.2069	-0.1058
अ-क्रम	-0.5520	-0.0360	-0.6200
अ-पार	0.4170	-1.0000	-0.5930
अ-पारदर्शिता	-0.3540	0.0360	-0.2700
अ-पार्ड	-0.3330	-0.9260	-0.4580
अ-पूर्ण	-0.6670	-0.4760	-0.4070
अ-समय	-0.5100	0.3520	-0.5340
अंक	0.1720	0.1141	0.2284
अंककीपिंग	0.0000	0.6300	0.4580
अंकगणित	-0.0940	-0.0800	0.2680
अंकगणिती	0.0000	-0.5420	0.4070
अंकगणितीName	0.5930	0.5830	0.6670
अंकहीन	-0.6670	-0.5830	-0.4170
अंकुर	0.1640	0.1300	-0.1140
अंग	0.2290	0.3497	-0.0980
अंगहीन	-0.7080	-0.9170	-0.7620
अंगीकार	0.7340	0.1560	0.2580
अंगुली	-0.2247	-0.1342	-0.2587
अंगुलीबोर्ड	0.3330	0.0000	0.0000
अंगूठा	-0.1065	-0.0105	0.1442
अंगूठी	0.3540	-0.1460	-0.0720
अंगूठीटोन	0.3750	0.6670	0.0000
अंगूर	0.3338	-0.5503	-0.2995
अंगो	-0.2300	-0.4320	-0.3820
अंजीर	0.1250	-0.2940	-0.1280
अंडरस्कोर	-0.2500	-0.4500	-0.3880
अंडे	0.0741	-0.3715	-0.3708
अंडेदारcolor	0.0000	0.6190	0.0000
अंत	0.0209	-0.1906	0.0427
अंत-	-0.0945	-0.4755	-0.0260
अंतःकरण	0.3260	-0.2500	0.4420
अंततः	0.3120	0.0960	0.4220
अंतन	0.0830	-0.5830	0.4580
अंतराल	-0.3235	-0.5910	-0.3780
अंतराष्ट्रीयकरण	0.6670	0.4580	0.6670
अंतरिक्ष	0.2920	0.3960	0.3600
अंतरिक्षीय	0.0370	0.0000	0.1480
अंतरिक्षीयName	0.5840	0.2020	0.5220
अंतरिम	0.0265	-0.1555	-0.2280
अंतरिमता	-0.3330	-0.8000	-0.8150
अंतर्क्रियात्मक	0.5605	0.6445	0.4785
अंतर्निर्मित	-0.1660	0.1080	0.3400
अंतर्राष्ट्रीय	0.4190	0.0190	0.5145
अंतर्राष्ट्रीयता	-0.0625	-0.5995	-0.1415
अंतर्राष्ट्रीयवाद	0.6670	-0.5830	0.7780
अंतर्राष्ट्रीयिस्ट	0.5560	0.6250	0.5830
अंतर्वेशित	0.2080	-0.1600	0.1280
अंतहीन	-0.2750	0.1660	0.1300
अंताउण्ड	0.3680	-0.2040	0.2180
अंतायोलामिकperu.	0.0000	0.0000	0.0000
अंतिम	-0.0746	-0.2358	0.0581
अंतिम-	0.0000	-0.0830	0.0000
अंतिमgame	-0.1020	0.0760	0.0520
अंतिमवाद	-0.2500	-0.0370	0.5420
अंतिमवादी	0.6660	0.3720	0.4720
अंतिमसंसरिक	0.0000	-1.0000	0.0420
अंतिमाइज	0.1120	0.1000	0.1560
अंतिमाइज़ेशन	0.6250	-0.4440	0.4760
अंतिमोक्सिन	-0.8890	0.6670	-0.4440
अंतॉयर	0.7140	0.0000	0.6670
अंतो	-0.5300	0.1740	-0.1760
अंतोसेंट्रिक	0.0000	-0.5190	0.1430
अंत्येष्टि	-0.8540	-0.2400	-0.2140
अंदर	-0.2660	-0.0410	-0.2370
अंदाजा	0.0840	0.3400	0.0700
अंधड़	-0.7300	0.7200	0.5680
अंधविश्‍वास	-0.6056	-0.1530	-0.1216
अंधा	-0.4987	0.1692	-0.3520
अंधापन	-0.6710	-0.3273	-0.6720
अंधे-	-0.5840	0.1280	-0.5820
अंश	0.0183	0.0425	0.2512
अआ	0.0960	0.0300	-0.1660
अआद्रियाusa.	-0.3000	-0.5660	-0.0540
अआशारहित	-0.9050	-1.0000	-0.7080
अकड़ता	-0.7570	0.2925	0.1795
अकारत	-0.3540	0.0370	0.0415
अकाल	-0.6740	0.3580	-0.3800
अकृतज्ञ	-0.7810	-0.3725	-0.5105
अकेला	-0.5356	-0.5716	-0.3732
अकेलापन	-0.6875	-0.7765	-0.7155
अकेले	-0.3340	-0.6660	-0.5680
अकेलेनेस	-0.3330	-1.0000	-0.4760
अकेलेपन	-0.6670	-0.6670	-0.2220
अक्रिय	-0.5300	-0.1060	-0.2160
अक्रियता	0.6670	0.4810	0.7620
अक्ष	-0.5820	-0.5000	-0.2880
अक्षम	-0.3656	0.0266	-0.0699
अक्षर	0.0549	-0.0487	-0.1579
अक्षर-	-0.0269	-0.0096	0.0307
अक्षरबाक्स	0.0000	0.0000	0.1250
अक्षरब्रोला	0.6110	0.6300	0.2080
अक्षरिंग	0.0820	-0.6400	-0.1380
अक्षरों	0.6670	-0.6670	0.0830
अक्षर्ड	-0.5840	0.3520	-0.2540
अक्षांश	0.1240	-0.3880	-0.0200
अक्षीय	0.0000	-1.0000	-0.6250
अक्षीयता	0.0000	0.0000	0.4070
अक्सल	-0.0820	-0.4120	-0.0540
अखंडता	0.7300	-0.1740	0.6960
अखबार	0.1435	0.0925	0.1475
अखमीरी	0.0370	-0.9170	-0.0950
अखाड़ा	0.0200	-0.5300	-0.1920
अग.	0.0000	0.5710	0.4580
अगका	-0.0820	-0.2840	-0.2980
अगघनiran.	0.0000	-0.0370	0.4170
अगघू	-0.4380	0.2700	-0.4750
अगत	0.3040	-0.4160	-0.0760
अगब	-0.0200	-0.2400	-0.1880
अगबॉन	-0.1040	0.4000	0.4900
अगल-	-0.1665	-0.5000	-0.6845
अगला	0.1128	0.0803	0.0732
अगली	-0.1200	-0.3840	-0.0760
अगलों	0.0000	0.0000	0.0000
अगहरिस्तानiran.	0.0000	0.0000	-0.1250
अगोराusa.	0.0580	-0.1500	-0.1900
अग्नि	-0.2077	0.8402	0.4783
अग्नि-	0.6250	0.0000	0.5710
अग्यात	0.0205	0.5735	0.0140
अग्र	0.0935	0.0098	-0.0143
अग्र-	0.3815	0.4295	0.4075
अग्रभूमि	0.4160	-0.0180	0.1800
अग्रमान	0.6670	0.6670	0.8100
अग्रल	-0.0820	-0.1320	0.0520
अग्रैब	0.0000	0.0000	0.0000
अघघघांग	0.1040	0.2980	-0.4240
अघिक	-0.6670	0.8330	-0.5830
अघू	-0.6670	-0.6670	-0.4070
अचयनित	-0.4953	-0.7780	-0.4737
अचानक	-0.2247	0.2423	-0.1057
अच्छा	0.7621	-0.1030	0.2352
अच्छी	0.4327	-0.1280	0.1198
अच्छे	0.7290	-0.1240	0.3315
अजनबी	-0.3400	-0.1020	-0.3960
अजन्मे	-0.3760	-0.4000	-0.5680
अजीब	-0.4486	0.2321	-0.2643
अजीब-	-0.1670	0.0420	0.0000
अजीबनेस	-0.3680	-0.0180	-0.2720
अजीबपन	-0.2220	-0.0167	-0.5433
अजीबो	-0.6540	0.0780	-0.3440
अजुदमीयता	0.6670	0.0480	0.4440
अज्ञात	-0.3818	-0.1330	-0.2290
अज्ञातनाम	-0.2080	-0.4180	-0.1380
अज्ञातनेस	-0.3330	-0.8750	-0.6670
अज्ञानता	-0.6940	-0.1660	-0.5820
अटकलें	-0.3500	0.3660	-0.2120
अटल	-0.1656	-0.1061	0.0189
अटलता	0.0050	0.0464	0.4879
अटलपन	-0.3342	-0.8038	-0.0852
अटलांट-	0.0000	-0.1480	0.8520
अटलांटा	0.6190	-0.5000	0.3335
अटलांटिक	0.0456	-0.1280	0.1140
अटली	-0.3330	-0.6670	-0.6190
अटाबोसworld.	1.0000	0.9580	0.5830
अटामिने	-0.5930	0.6670	-0.0830
अटारी	0.0000	0.6670	0.4760
अटारोसusa.	-0.0620	-0.3660	-0.4720
अटूट	-0.2363	0.1890	0.2757
अटूटी	-0.1480	-0.0980	-0.0900
अटेकोबर	0.0740	-0.6670	0.2080
अट्ठा	0.0190	-0.4520	-0.2490
अट्ठाफ	0.0000	0.0000	0.0000
अठारह	0.0230	-0.1600	-0.0960
अडूट	0.3330	0.6300	0.5930
अडोब	0.0000	-0.3620	-0.3440
अडौल्फी	-0.6670	-0.6670	-0.7920
अणु	0.0346	0.1593	0.0969
अण्डर	0.3760	0.4580	0.3460
अण्डीय	0.5000	-0.4720	0.5835
अति	0.0017	0.1643	0.2096
अति-	0.0000	0.0000	0.1110
अतिकल्पनाएँ	0.5560	0.5930	-0.1480
अतिग्रेसिव	-0.6670	0.9170	-0.5560
अतितम	0.4582	0.1294	0.5058
अतितमता	0.3330	-0.9580	-0.0830
अतिपरवलय	0.0000	0.0000	0.1250
अतिपाती	-0.1555	-0.1557	0.6020
अतिप्रयोग	-0.5560	0.6670	0.0000
अतिप्रयोगक	-0.7920	-0.6670	-0.6250
अतिप्रयोगात्मक	-0.1250	0.1455	0.1575
अतिफ्लिक	-0.6300	0.6670	0.5000
अतिरिक्त	0.1416	0.2448	0.3827
अतिरिक्त-	-0.3330	0.0000	0.0830
अतिरिक्तपोलर	0.6250	0.5930	0.4810
अतिरिक्तवागनjapan.	0.2920	0.5720	0.8120
अतिरिक्‍त	-0.3193	-0.0807	-0.1247
अतिरिक्‍तता	0.0097	0.2010	0.3253
अतिरूपता	0.0205	0.5625	0.3895
अतिरेपे	0.6670	0.6670	0.6670
अतिसक्रिय	-0.1110	-0.3333	-0.1050
अतिसक्रियता	-0.2521	-0.1581	-0.2824
अतिसेवन	-0.6670	0.6670	-0.5000
अतीत	-0.0560	-0.6670	0.0000
अतुल्यकालित	0.4525	0.3750	0.3095
अत्यंत	-0.2090	0.1111	-0.0744
अत्यंतमिनल	0.6670	1.0000	0.7920
अत्यंतली	0.2700	0.6540	0.7720
अत्यधिक	1.0000	0.1670	0.7780
अत्यधिकता	-0.6670	0.7040	0.5420
अत्यन्त	0.1600	0.1630	0.3420
अत्याचार	-0.8698	0.5540	0.4190
अत्याचारी	-0.7047	0.5407	0.5987
अत्यावश्‍यकता	-0.1420	0.8160	0.0860
अथाह	-0.4135	-0.2565	-0.2455
अथेने	-0.1240	-0.2500	-0.0560
अदब	0.8670	-0.3576	0.1848
अदर	0.0000	0.0280	-0.3700
अदरक	-0.4388	-0.3010	-0.4163
अदरत	0.3700	-0.5240	0.0000
अदरी	0.1905	0.1850	0.0000
अदर्सनप	0.6190	0.0000	0.0000
अदालत	0.0758	0.0760	0.4643
अदालतीName	0.2860	0.6250	-0.1330
अदृश्य	-0.1560	-0.3040	-0.1670
अदृश्‍यनेस	-0.3330	-0.9630	-0.5000
अद्भुत	0.8704	0.4841	0.6377
अद्यतन	0.3237	0.5197	0.5857
अद्वितीयता	0.9630	-0.8890	0.7620
अद्वितीयनेस	0.8330	0.0000	0.5830
अद्‌भुतता	0.9440	-0.6670	0.4440
अधर्म	-0.6390	0.4077	-0.1550
अधर्मी	-0.6320	0.2257	-0.0500
अधिक	-0.1196	0.2156	0.0941
अधिकतम	0.5799	0.0351	0.5152
अधिकतमाइज़ेशन	0.6670	0.7080	0.8150
अधिकांश	0.3680	0.1200	0.8600
अधिकार	-0.2070	0.3420	0.4510
अधिकारवाद	-0.7040	0.6670	1.0000
अधिकारियों	-0.0420	0.2380	0.9580
अधिकारी	0.0840	-0.1400	0.7540
अधिकृत	0.5440	0.1920	0.6420
अधिपति	0.5005	-0.3695	0.6505
अधिवेशन	0.1220	-0.2115	0.1115
अधिसूचना	-0.3483	-0.0310	-0.1543
अधिसूचना%	0.0004	0.1755	0.3869
